filename,width,height,class,xmin,ymin,xmax,ymax
DARK SOULS 02_05_2018 18_52_07.png,1024,576,bonfire,736,200,788,327
DARK SOULS 02_05_2018 18_52_07.png,1024,576,player,397,239,563,540
DARK SOULS 02_05_2018 18_52_11.png,1024,576,bonfire,653,156,695,279
DARK SOULS 02_05_2018 18_52_11.png,1024,576,player,380,242,576,535
DARK SOULS 02_05_2018 18_52_12.png,1024,576,bonfire,662,158,753,308
DARK SOULS 02_05_2018 18_52_12.png,1024,576,player,404,233,547,454
DARK SOULS 02_05_2018 18_52_12.png,1024,576,dialogBox,272,454,751,501
DARK SOULS 02_05_2018 18_52_13.png,1024,576,bonfire,680,145,774,292
DARK SOULS 02_05_2018 18_52_13.png,1024,576,player,395,219,524,448
DARK SOULS 02_05_2018 18_52_13.png,1024,576,dialogBox,274,453,752,505
DARK SOULS 02_05_2018 18_52_14.png,1024,576,bonfire,709,189,763,324
DARK SOULS 02_05_2018 18_52_14.png,1024,576,player,356,226,506,462
DARK SOULS 02_05_2018 18_52_18.png,1024,576,bonfire,454,302,508,441
DARK SOULS 02_05_2018 18_52_18.png,1024,576,player,237,270,487,557
DARK SOULS 02_05_2018 18_52_19.png,1024,576,bonfire,527,343,571,454
DARK SOULS 02_05_2018 18_52_19.png,1024,576,player,311,279,470,560
DARK SOULS 02_05_2018 18_52_19.png,1024,576,dialogBox,272,456,753,503
DARK SOULS 02_05_2018 18_52_20.png,1024,576,bonfire,517,182,578,303
DARK SOULS 02_05_2018 18_52_20.png,1024,576,player,237,272,486,519
DARK SOULS 02_05_2018 18_52_21.png,1024,576,bonfire,467,326,528,442
DARK SOULS 02_05_2018 18_52_21.png,1024,576,player,251,274,432,565
DARK SOULS 02_05_2018 18_52_25.png,1024,576,bonfire,326,202,379,302
DARK SOULS 02_05_2018 18_52_25.png,1024,576,player,425,324,609,576
DARK SOULS 02_05_2018 18_52_26.png,1024,576,bonfire,486,175,530,263
DARK SOULS 02_05_2018 18_52_26.png,1024,576,player,306,276,490,522
DARK SOULS 02_05_2018 18_52_27.png,1024,576,bonfire,645,187,693,281
DARK SOULS 02_05_2018 18_52_27.png,1024,576,player,386,246,515,471
DARK SOULS 02_05_2018 18_52_29.png,1024,576,bonfire,645,238,685,328
DARK SOULS 02_05_2018 18_52_29.png,1024,576,player,383,243,556,566
DARK SOULS 02_05_2018 18_52_34.png,1024,576,bonfire,666,195,686,265
DARK SOULS 02_05_2018 18_52_34.png,1024,576,player,183,272,500,576
DARK SOULS 02_05_2018 18_52_37.png,1024,576,bonfire,633,134,662,216
DARK SOULS 02_05_2018 18_52_37.png,1024,576,player,248,221,522,576
DARK SOULS 02_05_2018 18_52_38.png,1024,576,bonfire,565,294,589,358
DARK SOULS 02_05_2018 18_52_38.png,1024,576,player,324,280,475,548
DARK SOULS 02_05_2018 18_52_39.png,1024,576,bonfire,548,185,574,248
DARK SOULS 02_05_2018 18_52_39.png,1024,576,player,274,273,444,531
DARK SOULS 02_05_2018 18_52_41.png,1024,576,bonfire,546,258,573,323
DARK SOULS 02_05_2018 18_52_41.png,1024,576,player,372,244,566,551
DARK SOULS 02_05_2018 18_52_42.png,1024,576,bonfire,610,192,639,261
DARK SOULS 02_05_2018 18_52_42.png,1024,576,player,351,236,513,495
DARK SOULS 02_05_2018 18_52_44.png,1024,576,bonfire,538,248,576,338
DARK SOULS 02_05_2018 18_52_44.png,1024,576,player,133,265,490,576
DARK SOULS 02_05_2018 18_52_45.png,1024,576,bonfire,540,163,575,243
DARK SOULS 02_05_2018 18_52_45.png,1024,576,player,565,261,758,513
DARK SOULS 02_05_2018 18_52_46.png,1024,576,bonfire,473,299,527,416
DARK SOULS 02_05_2018 18_52_46.png,1024,576,player,542,276,713,452
DARK SOULS 02_05_2018 18_52_46.png,1024,576,dialogBox,274,453,750,500
DARK SOULS 02_05_2018 18_52_48.png,1024,576,bonfire,447,206,499,312
DARK SOULS 02_05_2018 18_52_48.png,1024,576,player,558,230,695,465
DARK SOULS 02_05_2018 18_52_52.png,1024,576,bonfire,343,220,424,331
DARK SOULS 02_05_2018 18_52_52.png,1024,576,player,456,239,622,462
DARK SOULS 02_05_2018 18_52_55.png,1024,576,bonfire,212,245,312,369
DARK SOULS 02_05_2018 18_52_55.png,1024,576,player,445,253,603,476
DARK SOULS 02_05_2018 18_52_57.png,1024,576,bonfire,381,148,438,293
DARK SOULS 02_05_2018 18_52_57.png,1024,576,player,488,258,660,491
DARK SOULS 02_05_2018 18_53_01.png,1024,576,bonfire,317,186,379,317
DARK SOULS 02_05_2018 18_53_01.png,1024,576,player,450,196,594,380
DARK SOULS 02_05_2018 18_53_01.png,1024,576,dialogBox,272,456,756,506
DARK SOULS 02_05_2018 18_53_03.png,1024,576,bonfire,331,169,380,278
DARK SOULS 02_05_2018 18_53_03.png,1024,576,player,429,216,591,421
DARK SOULS 02_05_2018 18_53_03.png,1024,576,dialogBox,272,455,752,506
DARK SOULS 02_05_2018 18_53_05.png,1024,576,bonfire,244,200,302,300
DARK SOULS 02_05_2018 18_53_05.png,1024,576,player,457,232,644,447
DARK SOULS 02_05_2018 18_53_07.png,1024,576,bonfire,277,252,351,364
DARK SOULS 02_05_2018 18_53_07.png,1024,576,player,495,247,669,484
DARK SOULS 02_05_2018 18_53_10.png,1024,576,bonfire,176,323,297,445
DARK SOULS 02_05_2018 18_53_10.png,1024,576,player,481,247,654,484
DARK SOULS 02_05_2018 18_53_11.png,1024,576,bonfire,403,133,466,273
DARK SOULS 02_05_2018 18_53_11.png,1024,576,player,458,239,637,454
DARK SOULS 02_05_2018 18_53_11.png,1024,576,dialogBox,271,456,754,507
DARK SOULS 02_05_2018 18_53_12.png,1024,576,bonfire,412,99,472,234
DARK SOULS 02_05_2018 18_53_12.png,1024,576,player,515,207,649,429
DARK SOULS 02_05_2018 18_53_12.png,1024,576,dialogBox,269,452,751,500
DARK SOULS 02_05_2018 18_53_13.png,1024,576,bonfire,306,293,356,444
DARK SOULS 02_05_2018 18_53_13.png,1024,576,player,457,248,603,518
DARK SOULS 02_05_2018 18_53_13.png,1024,576,dialogBox,274,454,751,504
DARK SOULS 02_05_2018 18_53_14.png,1024,576,bonfire,393,117,437,253
DARK SOULS 02_05_2018 18_53_14.png,1024,576,player,436,239,645,453
DARK SOULS 02_05_2018 18_53_14.png,1024,576,dialogBox,271,453,751,505
DARK SOULS 02_05_2018 18_53_15.png,1024,576,bonfire,464,93,510,206
DARK SOULS 02_05_2018 18_53_15.png,1024,576,player,549,281,744,453
DARK SOULS 02_05_2018 18_53_16.png,1024,576,bonfire,321,117,368,238
DARK SOULS 02_05_2018 18_53_16.png,1024,576,player,456,212,598,410
DARK SOULS 02_05_2018 18_53_16.png,1024,576,dialogBox,270,455,751,505
DARK SOULS 02_05_2018 18_53_17.png,1024,576,bonfire,482,123,527,226
DARK SOULS 02_05_2018 18_53_17.png,1024,576,player,452,264,618,477
DARK SOULS 02_05_2018 18_53_18.png,1024,576,bonfire,620,133,662,241
DARK SOULS 02_05_2018 18_53_18.png,1024,576,player,455,326,613,505
DARK SOULS 02_05_2018 18_53_23.png,1024,576,bonfire,862,338,967,521
DARK SOULS 02_05_2018 18_53_23.png,1024,576,player,407,241,578,567
DARK SOULS 02_05_2018 18_53_25.png,1024,576,bonfire,774,378,864,536
DARK SOULS 02_05_2018 18_53_25.png,1024,576,player,420,240,565,568
DARK SOULS 02_05_2018 18_53_29.png,1024,576,bonfire,744,385,830,541
DARK SOULS 02_05_2018 18_53_29.png,1024,576,player,429,241,563,568
DARK SOULS 02_05_2018 18_53_30.png,1024,576,bonfire,669,383,731,515
DARK SOULS 02_05_2018 18_53_30.png,1024,576,player,371,246,537,571
DARK SOULS 02_05_2018 18_53_35.png,1024,576,bonfire,37,265,219,553
DARK SOULS 02_05_2018 18_53_35.png,1024,576,player,430,236,634,569
DARK SOULS 02_05_2018 18_53_35.png,1024,576,dialogBox,275,456,754,504
DARK SOULS 02_05_2018 18_53_39.png,1024,576,bonfire,1,141,232,576
DARK SOULS 02_05_2018 18_53_39.png,1024,576,player,455,230,737,576
DARK SOULS 02_05_2018 18_53_40.png,1024,576,bonfire,310,270,387,404
DARK SOULS 02_05_2018 18_53_40.png,1024,576,player,442,242,617,521
DARK SOULS 02_05_2018 18_53_44.png,1024,576,bonfire,827,295,1005,557
DARK SOULS 02_05_2018 18_53_44.png,1024,576,player,428,242,650,570
DARK SOULS 02_05_2018 18_53_44.png,1024,576,dialogBox,272,454,753,504
DARK SOULS 02_05_2018 18_53_47.png,1024,576,bonfire,829,163,969,573
DARK SOULS 02_05_2018 18_53_47.png,1024,576,player,398,240,594,567
DARK SOULS 02_05_2018 18_53_51.png,1024,576,bonfire,858,227,992,567
DARK SOULS 02_05_2018 18_53_51.png,1024,576,player,411,235,599,576
DARK SOULS 02_05_2018 18_53_57.png,1024,576,bonfire,863,280,975,565
DARK SOULS 02_05_2018 18_53_57.png,1024,576,player,414,244,586,568
DARK SOULS 02_05_2018 18_54_00.png,1024,576,bonfire,886,295,1005,570
DARK SOULS 02_05_2018 18_54_00.png,1024,576,player,432,234,634,570
DARK SOULS 02_05_2018 18_54_00.png,1024,576,dialogBox,272,457,751,503
DARK SOULS 02_05_2018 18_58_35.png,1024,576,hollow,553,233,591,306
DARK SOULS 02_05_2018 18_58_35.png,1024,576,player,417,248,646,576
DARK SOULS 02_05_2018 18_58_38.png,1024,576,hollow,236,161,323,311
DARK SOULS 02_05_2018 18_58_38.png,1024,576,player,467,241,652,523
DARK SOULS 02_05_2018 18_58_39.png,1024,576,hollow,249,211,397,483
DARK SOULS 02_05_2018 18_58_39.png,1024,576,player,369,249,623,576
DARK SOULS 02_05_2018 18_58_40.png,1024,576,hollow,395,126,507,267
DARK SOULS 02_05_2018 18_58_40.png,1024,576,player,359,291,598,576
DARK SOULS 02_05_2018 18_58_41.png,1024,576,hollow,390,113,471,266
DARK SOULS 02_05_2018 18_58_41.png,1024,576,player,360,287,591,576
DARK SOULS 02_05_2018 18_58_42.png,1024,576,hollow,372,117,462,263
DARK SOULS 02_05_2018 18_58_42.png,1024,576,player,358,286,595,576
DARK SOULS 02_05_2018 18_58_43.png,1024,576,hollow,366,41,453,185
DARK SOULS 02_05_2018 18_58_43.png,1024,576,player,370,409,543,576
DARK SOULS 02_05_2018 18_58_44.png,1024,576,hollow,423,101,495,243
DARK SOULS 02_05_2018 18_58_44.png,1024,576,player,358,276,571,576
DARK SOULS 02_05_2018 18_58_45.png,1024,576,hollow,487,125,560,299
DARK SOULS 02_05_2018 18_58_45.png,1024,576,player,412,364,593,576
DARK SOULS 02_05_2018 18_58_50.png,1024,576,hollow,282,280,410,482
DARK SOULS 02_05_2018 18_58_50.png,1024,576,player,574,239,712,472
DARK SOULS 02_05_2018 18_58_51.png,1024,576,hollow,279,230,447,507
DARK SOULS 02_05_2018 18_58_51.png,1024,576,player,514,169,635,451
DARK SOULS 02_05_2018 18_58_53.png,1024,576,hollow,225,145,348,372
DARK SOULS 02_05_2018 18_58_53.png,1024,576,player,456,224,701,573
DARK SOULS 02_05_2018 18_58_54.png,1024,576,hollow,492,98,653,333
DARK SOULS 02_05_2018 18_58_54.png,1024,576,player,482,355,825,576
DARK SOULS 02_05_2018 18_58_57.png,1024,576,hollow,399,138,662,272
DARK SOULS 02_05_2018 18_58_57.png,1024,576,player,293,384,574,576
DARK SOULS 02_05_2018 18_58_58.png,1024,576,hollow,695,154,975,302
DARK SOULS 02_05_2018 18_58_58.png,1024,576,player,302,205,599,576
DARK SOULS 02_05_2018 18_58_59.png,1024,576,hollow,745,163,872,380
DARK SOULS 02_05_2018 18_58_59.png,1024,576,player,359,206,704,576
DARK SOULS 02_05_2018 18_59_00.png,1024,576,hollow,495,69,567,202
DARK SOULS 02_05_2018 18_59_00.png,1024,576,player,350,345,551,576
DARK SOULS 02_05_2018 18_59_03.png,1024,576,hollow,518,132,562,249
DARK SOULS 02_05_2018 18_59_03.png,1024,576,player,417,252,610,536
DARK SOULS 02_05_2018 18_59_04.png,1024,576,hollow,577,110,647,233
DARK SOULS 02_05_2018 18_59_04.png,1024,576,player,420,253,606,521
DARK SOULS 02_05_2018 18_59_05.png,1024,576,hollow,580,120,636,252
