filename,width,height,class,xmin,ymin,xmax,ymax
DARK SOULS 21_02_2018 12_45_17.png,1024,576,souls,825,506,945,536
DARK SOULS 21_02_2018 12_45_17.png,1024,576,health,138,58,343,71
DARK SOULS 21_02_2018 12_45_17.png,1024,576,stamina,138,74,274,88
DARK SOULS 21_02_2018 12_45_17.png,1024,576,humanity,80,45,136,102
DARK SOULS 21_02_2018 12_45_17.png,1024,576,bossHP,314,469,847,479
DARK SOULS 21_02_2018 12_45_18.png,1024,576,souls,825,506,945,536
DARK SOULS 21_02_2018 12_45_18.png,1024,576,health,138,58,343,71
DARK SOULS 21_02_2018 12_45_18.png,1024,576,stamina,138,74,274,88
DARK SOULS 21_02_2018 12_45_18.png,1024,576,humanity,80,45,136,102
DARK SOULS 21_02_2018 12_45_18.png,1024,576,bossHP,314,469,847,479
DARK SOULS 21_02_2018 12_45_19.png,1024,576,souls,825,506,945,536
DARK SOULS 21_02_2018 12_45_19.png,1024,576,health,138,58,343,71
DARK SOULS 21_02_2018 12_45_19.png,1024,576,stamina,138,74,274,88
DARK SOULS 21_02_2018 12_45_19.png,1024,576,humanity,80,45,136,102
DARK SOULS 21_02_2018 12_45_19.png,1024,576,bossHP,314,469,847,479
DARK SOULS 21_02_2018 12_45_25.png,1024,576,souls,825,506,945,536
DARK SOULS 21_02_2018 12_45_25.png,1024,576,health,138,58,343,71
DARK SOULS 21_02_2018 12_45_25.png,1024,576,stamina,138,74,274,88
DARK SOULS 21_02_2018 12_45_25.png,1024,576,humanity,80,45,136,102
DARK SOULS 21_02_2018 12_45_25.png,1024,576,bossHP,314,469,847,479
DARK SOULS 21_02_2018 12_45_27.png,1024,576,souls,825,506,945,536
DARK SOULS 21_02_2018 12_45_27.png,1024,576,health,138,58,343,71
DARK SOULS 21_02_2018 12_45_27.png,1024,576,stamina,138,74,274,88
DARK SOULS 21_02_2018 12_45_27.png,1024,576,humanity,80,45,136,102
DARK SOULS 21_02_2018 12_45_27.png,1024,576,bossHP,314,469,847,479
DARK SOULS 21_02_2018 12_45_28.png,1024,576,souls,825,506,945,536
DARK SOULS 21_02_2018 12_45_28.png,1024,576,health,138,58,343,71
DARK SOULS 21_02_2018 12_45_28.png,1024,576,stamina,138,74,274,88
DARK SOULS 21_02_2018 12_45_28.png,1024,576,humanity,80,45,136,102
DARK SOULS 21_02_2018 12_45_28.png,1024,576,bossHP,314,469,847,479
DARK SOULS 21_02_2018 12_45_29.png,1024,576,souls,825,506,945,536
DARK SOULS 21_02_2018 12_45_29.png,1024,576,health,138,58,343,71
DARK SOULS 21_02_2018 12_45_29.png,1024,576,stamina,138,74,274,88
DARK SOULS 21_02_2018 12_45_29.png,1024,576,humanity,80,45,136,102
DARK SOULS 21_02_2018 12_45_29.png,1024,576,bossHP,314,469,847,479
DARK SOULS 21_02_2018 12_45_30.png,1024,576,souls,825,506,945,536
DARK SOULS 21_02_2018 12_45_30.png,1024,576,health,138,58,343,71
DARK SOULS 21_02_2018 12_45_30.png,1024,576,stamina,138,74,274,88
DARK SOULS 21_02_2018 12_45_30.png,1024,576,humanity,80,45,136,102
